,x,y,z,layer,region,type
0,17000.0,-5000.0,4000.0,Outside,Outside,Reciprocity
1,7000.0,-1000.0,-4000.0,Outside,Outside,Reciprocity
2,0.0000,-5000.0,-10000,Outside,Outside,Reciprocity
3,17000.0,-5000.0,4000.0,Outside,Outside,DipoleReciprocity
4,7000.0,-1000.0,-4000.0,Outside,Outside,DipoleReciprocity
5,0.0000,-5000.0,-10000,Outside,Outside,DipoleReciprocity
6,17000.0,-5000.0,4000.0,Outside,Outside,LineSource
7,7000.0,-1000.0,-4000.0,Outside,Outside,LineSource
8,0.0000,-5000.0,-10000,Outside,Outside,LineSource
9,-3500.0,-1000.0,6500.0,Outside,Outside,LineSource
10,17000.0,-5000.0,4000.0,Outside,Outside,PointSource
11,7000.0,-1000.0,-4000.0,Outside,Outside,PointSource
12,0.0000,-5000.0,-10000,Outside,Outside,PointSource
13,-3500.0,-1000.0,6500.0,Outside,Outside,PointSource
